root@notebook-1898717724949078018-scngsz9kqh-56749:~# python model.py 
Training Original BotRGCN:
Epoch 074 | Loss: 0.0377 | Val Acc: 0.9773 | Val F1: 0.9756
Epoch 075 | Loss: 0.0341 | Val Acc: 0.9811 | Val F1: 0.9796
Epoch 076 | Loss: 0.0329 | Val Acc: 0.9764 | Val F1: 0.9746
Epoch 077 | Loss: 0.0367 | Val Acc: 0.9754 | Val F1: 0.9736
Epoch 078 | Loss: 0.0357 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 079 | Loss: 0.0331 | Val Acc: 0.9783 | Val F1: 0.9766
Early stopping at epoch 79
Final Test Accuracy: 0.8822 | Test F1: 0.8782

Ablation Study - 1 Layer:
Epoch 001 | Loss: 2.4219 | Val Acc: 0.7363 | Val F1: 0.7096
Epoch 002 | Loss: 3.8081 | Val Acc: 0.8062 | Val F1: 0.7547
Epoch 003 | Loss: 1.1682 | Val Acc: 0.4376 | Val F1: 0.4110
Epoch 004 | Loss: 2.5212 | Val Acc: 0.7902 | Val F1: 0.7292
Epoch 005 | Loss: 0.8409 | Val Acc: 0.8062 | Val F1: 0.7547
Epoch 006 | Loss: 0.7799 | Val Acc: 0.8195 | Val F1: 0.7807
Epoch 007 | Loss: 0.6450 | Val Acc: 0.7864 | Val F1: 0.7536
Epoch 008 | Loss: 0.6033 | Val Acc: 0.7921 | Val F1: 0.7609
Epoch 009 | Loss: 0.4968 | Val Acc: 0.8270 | Val F1: 0.7938
Epoch 010 | Loss: 0.4000 | Val Acc: 0.8478 | Val F1: 0.8175
Epoch 011 | Loss: 0.3404 | Val Acc: 0.8705 | Val F1: 0.8470
Epoch 012 | Loss: 0.3066 | Val Acc: 0.9008 | Val F1: 0.8858
Epoch 013 | Loss: 0.3094 | Val Acc: 0.9036 | Val F1: 0.8893
Epoch 014 | Loss: 0.3529 | Val Acc: 0.9093 | Val F1: 0.8963
Epoch 015 | Loss: 0.2345 | Val Acc: 0.9149 | Val F1: 0.9032
Epoch 016 | Loss: 0.2157 | Val Acc: 0.9291 | Val F1: 0.9202
Epoch 017 | Loss: 0.2029 | Val Acc: 0.9386 | Val F1: 0.9315
Epoch 018 | Loss: 0.1799 | Val Acc: 0.9471 | Val F1: 0.9418
Epoch 019 | Loss: 0.1575 | Val Acc: 0.9499 | Val F1: 0.9452
Epoch 020 | Loss: 0.1460 | Val Acc: 0.9490 | Val F1: 0.9445
Epoch 021 | Loss: 0.1420 | Val Acc: 0.9527 | Val F1: 0.9487
Epoch 022 | Loss: 0.1306 | Val Acc: 0.9518 | Val F1: 0.9478
Epoch 023 | Loss: 0.1239 | Val Acc: 0.9518 | Val F1: 0.9477
Epoch 024 | Loss: 0.1265 | Val Acc: 0.9518 | Val F1: 0.9479
